token_id,name,symbol,timestamp,market_cap,total_volume,solana_mint,longterm_holders,pct_change
ai-rig-complex,AI Rig Complex,ARC,2025-02-13T08:49:05.608462,369717418,217972729,61V8vBaqAGMpgDQi4JcAwo1dmBGHsyhzodcPqnEVpump,0,0.0
melania-meme,Melania Meme,MELANIA,2025-02-13T08:49:05.608462,217606232,63995434,FUAfBo2jgks6gB4Z4LfZkqSZgzNucisEHqnNebaRxM1P,0,0.0
aixbt,aixbt by Virtuals,AIXBT,2025-02-13T08:49:05.608462,209906087,170702423,14zP2ToQ79XWvc7FQpm4bRnp9d6Mp1rFfsUW3gpLcRX,0,0.0
act-i-the-ai-prophecy,Act I The AI Prophecy,ACT,2025-02-13T08:49:05.608462,182420987,100339745,GJAFwWjJ3vnTsrQVabjBVK2TYB1YtRCQXRDfDgUnpump,0,0.0
griffain,GRIFFAIN,GRIFFAIN,2025-02-13T08:49:05.608462,158898357,53298421,KENJSUYLASHUMfHyy5o4Hp2FdNqZg1AsUPhfH2kYvEP,0,0.0
book-of-meme,BOOK OF MEME,BOME,2025-02-13T08:49:05.608462,150631478,96244007,ukHH6c7mMyiWCf1b9pnWe25TSpkDDt3H5pQZgZ74J82,0,0.0
