timestamp,token_id,name,symbol,market_cap,total_volume,solana_mint,longterm_holders,pct_change
melania-meme,Melania Meme,melania,2025-02-12T15:40:40.752782,211846749,54870108,FUAfBo2jgks6gB4Z4LfZkqSZgzNucisEHqnNebaRxM1P,0,0.0
aixbt,aixbt by Virtuals,aixbt,2025-02-12T15:40:40.752782,198868627,127376450,14zP2ToQ79XWvc7FQpm4bRnp9d6Mp1rFfsUW3gpLcRX,234,-13.970588235294118
act-i-the-ai-prophecy,Act I The AI Prophecy,act,2025-02-12T15:40:40.752782,177847145,54380763,GJAFwWjJ3vnTsrQVabjBVK2TYB1YtRCQXRDfDgUnpump,621,-13.389121338912132
griffain,GRIFFAIN,griffain,2025-02-12T15:40:40.752782,143766064,48720525,KENJSUYLASHUMfHyy5o4Hp2FdNqZg1AsUPhfH2kYvEP,565,-29.463171036204745
book-of-meme,BOOK OF MEME,bome,2025-02-12T15:40:40.752782,138448862,63406655,ukHH6c7mMyiWCf1b9pnWe25TSpkDDt3H5pQZgZ74J82,981,6.862745098039216
zignaly,ZIGChain,zig,2025-02-12T15:40:40.752782,130357091,9912391,26f12PmBk77wQV1TzLe8XKkNBvMFggbuypxdtMLzNLzz,655,351.7241379310345
tars-protocol,TARS AI,tai,2025-02-12T15:40:40.752782,113000808,4926437,Hax9LTgsQkze1YFychnBLtFH8gYbQKtKfWKKg2SP6gdD,182,-0.546448087431694
2025-02-12T16:34:08.741887,ai16z,ai16z,ai16z,472250645,329462877,HeLp6NuQkmYB4pYWo2zYs22mESHXPQYzXbB8n4V98jwC,0,0.0
2025-02-12T16:34:08.741887,ai-rig-complex,AI Rig Complex,arc,266850034,154327427,61V8vBaqAGMpgDQi4JcAwo1dmBGHsyhzodcPqnEVpump,0,0.0
2025-02-12T16:34:08.741887,melania-meme,Melania Meme,melania,211503722,56050813,FUAfBo2jgks6gB4Z4LfZkqSZgzNucisEHqnNebaRxM1P,0,0.0
2025-02-12T16:34:08.741887,aixbt,aixbt by Virtuals,aixbt,190407318,128997301,14zP2ToQ79XWvc7FQpm4bRnp9d6Mp1rFfsUW3gpLcRX,0,0.0
2025-02-12T16:34:08.741887,act-i-the-ai-prophecy,Act I The AI Prophecy,act,174782184,58648412,GJAFwWjJ3vnTsrQVabjBVK2TYB1YtRCQXRDfDgUnpump,889,89.14893617021276
2025-02-12T16:34:08.741887,book-of-meme,BOOK OF MEME,bome,136943884,71417133,ukHH6c7mMyiWCf1b9pnWe25TSpkDDt3H5pQZgZ74J82,861,248.58299595141705
2025-02-12T16:34:08.741887,griffain,GRIFFAIN,griffain,136928820,46670649,KENJSUYLASHUMfHyy5o4Hp2FdNqZg1AsUPhfH2kYvEP,409,-58.09426229508197
2025-02-12T16:34:08.741887,zignaly,ZIGChain,zig,128620640,10408241,26f12PmBk77wQV1TzLe8XKkNBvMFggbuypxdtMLzNLzz,949,38.33819241982507
2025-02-12T16:34:08.741887,tars-protocol,TARS AI,tai,110196459,4764796,Hax9LTgsQkze1YFychnBLtFH8gYbQKtKfWKKg2SP6gdD,833,245.64315352697096
ai16z,ai16z,ai16z,2025-02-12T16:40:51.381608,472266198,328962163,HeLp6NuQkmYB4pYWo2zYs22mESHXPQYzXbB8n4V98jwC,0,0.0
ai-rig-complex,AI Rig Complex,arc,2025-02-12T16:40:51.381608,268371302,155355044,61V8vBaqAGMpgDQi4JcAwo1dmBGHsyhzodcPqnEVpump,0,0.0
melania-meme,Melania Meme,melania,2025-02-12T16:40:51.381608,211758876,56128739,FUAfBo2jgks6gB4Z4LfZkqSZgzNucisEHqnNebaRxM1P,0,0.0
aixbt,aixbt by Virtuals,aixbt,2025-02-12T16:40:51.381608,190546132,129577106,14zP2ToQ79XWvc7FQpm4bRnp9d6Mp1rFfsUW3gpLcRX,502,114.52991452991452
act-i-the-ai-prophecy,Act I The AI Prophecy,act,2025-02-12T16:40:51.381608,175068700,58882363,GJAFwWjJ3vnTsrQVabjBVK2TYB1YtRCQXRDfDgUnpump,905,45.73268921095008
book-of-meme,BOOK OF MEME,bome,2025-02-12T16:40:51.381608,137707065,71477832,ukHH6c7mMyiWCf1b9pnWe25TSpkDDt3H5pQZgZ74J82,0,-100.0
griffain,GRIFFAIN,griffain,2025-02-12T16:40:51.381608,137288129,46236353,KENJSUYLASHUMfHyy5o4Hp2FdNqZg1AsUPhfH2kYvEP,463,-18.053097345132745
