timestamp,token_id,name,symbol,market_cap,total_volume,solana_mint,longterm_holders,pct_change
2025-02-13T06:35:07.345739,ai-rig-complex,AI Rig Complex,arc,388320416,218340970,61V8vBaqAGMpgDQi4JcAwo1dmBGHsyhzodcPqnEVpump,0,0.0
2025-02-13T06:35:07.345739,aixbt,aixbt by Virtuals,aixbt,223417037,166958591,14zP2ToQ79XWvc7FQpm4bRnp9d6Mp1rFfsUW3gpLcRX,0,0.0
2025-02-13T06:35:07.345739,melania-meme,Melania Meme,melania,215892127,50271302,FUAfBo2jgks6gB4Z4LfZkqSZgzNucisEHqnNebaRxM1P,0,0.0
2025-02-13T06:35:07.345739,act-i-the-ai-prophecy,Act I The AI Prophecy,act,191744347,93080628,GJAFwWjJ3vnTsrQVabjBVK2TYB1YtRCQXRDfDgUnpump,0,-100.0
2025-02-13T06:35:07.345739,griffain,GRIFFAIN,griffain,166005867,54780574,KENJSUYLASHUMfHyy5o4Hp2FdNqZg1AsUPhfH2kYvEP,0,-100.0
2025-02-13T06:35:07.345739,book-of-meme,BOOK OF MEME,bome,155493881,90904960,ukHH6c7mMyiWCf1b9pnWe25TSpkDDt3H5pQZgZ74J82,0,-100.0
2025-02-13T06:35:07.345739,zignaly,ZIGChain,zig,133653335,20349319,26f12PmBk77wQV1TzLe8XKkNBvMFggbuypxdtMLzNLzz,0,-100.0
2025-02-13T06:35:07.345739,tars-protocol,TARS AI,tai,119717716,5734187,Hax9LTgsQkze1YFychnBLtFH8gYbQKtKfWKKg2SP6gdD,0,-100.0
ai16z,ai16z,ai16z,2025-02-13T06:41:55.327411,551272802,312045729,HeLp6NuQkmYB4pYWo2zYs22mESHXPQYzXbB8n4V98jwC,0,0.0
ai-rig-complex,AI Rig Complex,arc,2025-02-13T06:41:55.327411,386028397,217732058,61V8vBaqAGMpgDQi4JcAwo1dmBGHsyhzodcPqnEVpump,0,0.0
aixbt,aixbt by Virtuals,aixbt,2025-02-13T06:41:55.327411,222397148,166503245,14zP2ToQ79XWvc7FQpm4bRnp9d6Mp1rFfsUW3gpLcRX,0,0.0
melania-meme,Melania Meme,melania,2025-02-13T06:41:55.327411,214271487,59227697,FUAfBo2jgks6gB4Z4LfZkqSZgzNucisEHqnNebaRxM1P,563,0.0
act-i-the-ai-prophecy,Act I The AI Prophecy,act,2025-02-13T06:41:55.327411,190055362,93897382,GJAFwWjJ3vnTsrQVabjBVK2TYB1YtRCQXRDfDgUnpump,413,241.32231404958677
griffain,GRIFFAIN,griffain,2025-02-13T06:41:55.327411,165339549,54465523,KENJSUYLASHUMfHyy5o4Hp2FdNqZg1AsUPhfH2kYvEP,576,-28.4472049689441
book-of-meme,BOOK OF MEME,bome,2025-02-13T06:41:55.327411,153713953,90973165,ukHH6c7mMyiWCf1b9pnWe25TSpkDDt3H5pQZgZ74J82,866,98.62385321100918
zignaly,ZIGChain,zig,2025-02-13T06:41:55.327411,134263809,20846459,26f12PmBk77wQV1TzLe8XKkNBvMFggbuypxdtMLzNLzz,773,40.03623188405797
tars-protocol,TARS AI,tai,2025-02-13T06:41:55.327411,118551291,5649168,Hax9LTgsQkze1YFychnBLtFH8gYbQKtKfWKKg2SP6gdD,282,-71.6867469879518
2025-02-13T07:35:18.252568,ai16z,ai16z,ai16z,550600447,313435053,HeLp6NuQkmYB4pYWo2zYs22mESHXPQYzXbB8n4V98jwC,0,0.0
2025-02-13T07:35:18.252568,ai-rig-complex,AI Rig Complex,arc,375768499,217264895,61V8vBaqAGMpgDQi4JcAwo1dmBGHsyhzodcPqnEVpump,0,0.0
2025-02-13T07:35:18.252568,melania-meme,Melania Meme,melania,215838455,63014810,FUAfBo2jgks6gB4Z4LfZkqSZgzNucisEHqnNebaRxM1P,0,0.0
2025-02-13T07:35:18.252568,aixbt,aixbt by Virtuals,aixbt,215787837,170648063,14zP2ToQ79XWvc7FQpm4bRnp9d6Mp1rFfsUW3gpLcRX,371,0.0
2025-02-13T07:35:18.252568,act-i-the-ai-prophecy,Act I The AI Prophecy,act,187389115,97750575,GJAFwWjJ3vnTsrQVabjBVK2TYB1YtRCQXRDfDgUnpump,741,0.0
2025-02-13T07:35:18.252568,griffain,GRIFFAIN,griffain,162134420,53940621,KENJSUYLASHUMfHyy5o4Hp2FdNqZg1AsUPhfH2kYvEP,484,0.0
2025-02-13T07:35:18.252568,book-of-meme,BOOK OF MEME,bome,152942758,91949308,ukHH6c7mMyiWCf1b9pnWe25TSpkDDt3H5pQZgZ74J82,759,0.0
2025-02-13T07:35:18.252568,zignaly,ZIGChain,zig,135607729,21368100,26f12PmBk77wQV1TzLe8XKkNBvMFggbuypxdtMLzNLzz,676,0.0
2025-02-13T07:35:18.252568,tars-protocol,TARS AI,tai,117939927,5921607,Hax9LTgsQkze1YFychnBLtFH8gYbQKtKfWKKg2SP6gdD,645,0.0
