token_id,name,symbol,timestamp,market_cap,total_volume,solana_mint,longterm_holders,pct_change
autonolas,Autonolas,OLAS,2025-02-13T09:09:01.202780,63663338,733135,Ez3nzG9ofodYCvEmw73XhQ87LWNYVRM2s7diB5tBZPyM,0,0.0
dao-maker,DAO Maker,DAO,2025-02-13T09:09:01.202780,62746538,3146443,85aM5XJhdDeUw4MbGKM56zmWnsRyh76zUVut97uPjiCg,0,0.0
bc-token,BCGame Coin,BC,2025-02-13T09:09:01.202780,59733472,4449.81,BCNT4t3rv5Hva8RnUtJUJLnxzeFAabcYp8CghC1SmWin,0,0.0
ava-ai,Ava AI,AVA,2025-02-13T09:09:01.202780,58076322,39736995,DKu9kykSfbN5LBfFXtNNDPaX35o4Fv6vJ9FKk7pZpump,0,0.0
mcdull,McDull (Meme),MCDULL,2025-02-13T09:09:01.202780,56246223,251121,Buoj8HCZMnLRwzDmjzaswhkVhLZD58PG4pZ7rnYp6pCr,0,0.0
swarmnode-ai,SwarmNode.ai,SNAI,2025-02-13T09:09:01.202780,53310266,20873885,Hjw6bEcHtbHGpQr8onG3izfJY5DJiWdt7uk2BfdSpump,0,0.0
360noscope420blazeit,360noscope420blazeit,MLG,2025-02-13T09:09:01.202780,52873141,15307981,7XJiwLDrjzxDYdZipnJXzpr1iDTmK55XixSFAa7JgNEL,0,0.0
ox-fun,OX Coin,OX,2025-02-13T09:09:01.202780,49949363,2256393,3E2z4KX7y457xJqK9RQeJhA29oPdoUvAAD3Ea3zQyuG3,0,0.0
orderly-network,Orderly Network,ORDER,2025-02-13T09:09:01.202780,47401786,14299796,ABt79MkRXUsoHuV2CVQT32YMXQhTparKFjmidQxgiQ6E,0,0.0
moby-ai,Moby AI,MOBY,2025-02-13T09:09:01.202780,46839013,13164853,Cy1GS2FqefgaMbi45UunrUzin1rfEmTUYnomddzBpump,0,0.0
genesysgo-shadow,Shadow Token,SHDW,2025-02-13T09:09:01.202780,46143325,615630,SHDWyBxihqiCj6YekG2GUr7wqKLeLAMK1gHZck9pL6y,0,0.0
deapcoin,DEAPCOIN,DEP,2025-02-13T09:09:01.202780,41770515,1581670,BgwQjVNMWvt2d8CN51CsbniwRWyZ9H9HfHkEsvikeVuZ,0,0.0
dego-finance,Dego Finance,DEGO,2025-02-13T09:09:01.202780,40930629,25683672,BU4eP1vCR99amXKsMXhctX8YpqUa7wbULQ26XaQbazkS,0,0.0
step-finance,Step Finance,STEP,2025-02-13T09:09:01.202780,34755551,54173,StepAscQoEioFxxWGnh2sLBDFp9d8rvKz2Yp39iDpyT,0,0.0
pocket-network,Pocket Network,POKT,2025-02-13T09:09:01.202780,31243547,486777,6CAsXfiCXZfP8APCG6Vma2DFMindopxiqYQN4LSQfhoC,0,0.0
central-african-republic-meme,Central African Republic Meme,CAR,2025-02-13T09:09:01.202780,31233831,39435536,7oBYdEhV4GkXC19ZfgAvXpJWp2Rn9pm1Bx2cVNxFpump,0,0.0
hive-ai,Hive AI,BUZZ,2025-02-13T09:09:01.202780,30610371,30927162,9DHe3pycTuymFk4H4bbPoAJ4hQrr2kaLDF6J6aAKpump,0,0.0
rune-pups,Pups (Bitcoin),PUPS,2025-02-13T09:09:01.202780,29187026,173459,2oGLxYuNBJRcepT1mEV6KnETaLD7Bf6qq3CM6skasBfe,0,0.0
send-2,Sendcoin,SEND,2025-02-13T09:09:01.202780,27703242,3824888,SENDdRQtYMWaQrBroBrJ2Q53fgVuq95CV9UPGEvpCxa,0,0.0
star-atlas-dao,Star Atlas DAO,POLIS,2025-02-13T09:09:01.202780,27185106,410866,poLisWXnNRwC6oBu1vHiuKQzFjGL4XDSu4g9qjz9qVk,0,0.0
realio-network,Realio Network Token,RIO,2025-02-13T09:09:01.202780,26852476,2992075,HELn8rSM1rp8vAjNH4NYXzX6FvCbwWMGqLfaMgiBnZFV,0,0.0
ninja-squad,Ninja Squad Token,NST,2025-02-13T09:09:01.202780,26096760,803525,G7iK3prSzAA4vzcJWvsLUEsdCqzR7PnMzJV61vSdFSNW,0,0.0
ora-coin,ORA Coin,ORA,2025-02-13T09:09:01.202780,24446023,557978,BPYhCMNao2XG4UR771LurHrwUg3rcp76jmg4XFfAacvg,0,0.0
alchemist-ai,Alchemist AI,ALCH,2025-02-13T09:09:01.202780,21026438,15146068,HNg5PYJmtqcmzXrv6S9zP1CDKk5BgDuyFBxbvNApump,0,0.0
samoyedcoin,Samoyedcoin,SAMO,2025-02-13T09:09:01.202780,19508152,561136,7xKXtg2CW87d97TXJSDpbD5jBkheTqA83TZRuJosgAsU,0,0.0
rift-ai,RIFT AI,RIFT,2025-02-13T09:09:01.202780,18917085,20674,jUpa2aDCzvdR9EF4fqDXmuyMUkonPTohphABLmRkRFj,0,0.0
loopin-network,LooPIN Network,LOOPIN,2025-02-13T09:09:01.202780,18749445,14543.06,CHX3FSxGYSJ2LHeQTcGp2oMAoBNngtJ73jsuamMUnZQx,0,0.0
american-coin,American Coin,USA,2025-02-13T09:09:01.202780,18371651,1546773,69kdRLyP5DTRkpHraaSZAQbWmAwzF9guKjZfzMXzcbAs,0,0.0
zyncoin-2,ZynCoin,ZYN,2025-02-13T09:09:01.202780,17595648,378977,PzuaVAUH2tfxGZcbBR6kMxeJsBngnsPLFotGJNCtcsd,0,0.0
zen-ai,Zen AI,ZAI,2025-02-13T09:09:01.202780,17163629,912954,8vwqxHGz1H4XxyKajr99Yxm65HjYNVtqtCNoM2yWb13e,0,0.0
foxsy-ai,Foxsy AI,FOXSY,2025-02-13T09:09:01.202780,17109378,2020785,CgGWS19zR5xTzgCEcW5Svsuon4hBZwzBwUFimoJStCf2,0,0.0
billion-dollar-cat-runes,BILLION•DOLLAR•CAT (Bitcoin),BDC,2025-02-13T09:09:01.202780,17099895,92053,BDCs2xEqzXyRpp9P6uPDnAvERpLKBfzHPEzbe3BfCxDY,0,0.0
green-satoshi-token,STEPN Green Satoshi Token on Solana,GST-SOL,2025-02-13T09:09:01.202780,15042334,2413571,AFbX8oGjGpmVFywbVouvhQSRmiW2aR1mohfahi4Y2AdB,0,0.0
aintivirus-2,AIntivirus,AINTI,2025-02-13T09:09:01.202780,14321430,433602,BAezfVmia8UYLt4rst6PCU4dvL2i2qHzqn4wGhytpNJW,0,0.0
butthole-coin,Butthole Coin,BUTTHOLE,2025-02-13T09:09:01.202780,12880289,5084998,CboMcTUYUcy9E6B3yGdFn6aEsGUnYV6yWeoeukw6pump,0,0.0
